status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,year
for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192.0,2019-06-28,110000.0,2019
for_sale,5,4,0.99,Saint Thomas,Virgin Islands,802,5000.0,2013-10-11,950000.0,2013
for_sale,4,6,0.83,Saint Thomas,Virgin Islands,802,4600.0,2018-04-05,6899000.0,2018
for_sale,3,3,0.45,Agawam,Massachusetts,1001,2314.0,2014-06-25,525000.0,2014
for_sale,3,2,0.36,Agawam,Massachusetts,1001,1276.0,2012-10-12,289900.0,2012
for_sale,3,2,0.46,Agawam,Massachusetts,1001,1476.0,1986-11-20,384900.0,1986
for_sale,3,2,1.76,Agawam,Massachusetts,1001,1968.0,2008-09-19,199999.0,2008
for_sale,4,2,2.0,Pelham,Massachusetts,1002,1607.0,2005-07-25,419000.0,2005
for_sale,4,3,0.56,Amherst,Massachusetts,1002,2847.0,1992-06-24,745000.0,1992
for_sale,4,4,1.5,Pelham,Massachusetts,1002,4366.0,1996-07-12,875000.0,1996
for_sale,4,4,0.77,Amherst,Massachusetts,1002,3879.0,1993-08-11,699900.0,1993
for_sale,3,2,0.16,Amherst,Massachusetts,1002,1280.0,2021-08-19,275000.0,2021
for_sale,4,2,0.49,Amherst,Massachusetts,1002,1814.0,1997-06-30,415000.0,1997
for_sale,3,2,0.5,Amherst,Massachusetts,1002,1128.0,1998-09-17,390000.0,1998
for_sale,4,3,0.65,Amherst,Massachusetts,1002,3465.0,2006-10-03,865000.0,2006
for_sale,4,3,0.46,Amherst,Massachusetts,1002,2143.0,1988-06-10,499900.0,1988
for_sale,5,4,0.64,Amherst,Massachusetts,1002,2363.0,2004-07-28,650000.0,2004
for_sale,3,4,3.04,Amherst,Massachusetts,1002,2074.0,2006-06-21,975000.0,2006
for_sale,3,2,0.2,Amherst,Massachusetts,1002,1349.0,2005-09-02,439900.0,2005
for_sale,2,2,0.51,Granby,Massachusetts,1033,2000.0,2001-12-13,397000.0,2001
for_sale,2,2,0.92,Whately,Massachusetts,1093,1723.0,1997-09-25,389900.0,1997
for_sale,4,3,3.8,Sunderland,Massachusetts,1375,2768.0,2009-07-17,459900.0,2009
for_sale,4,3,0.29,Chicopee,Massachusetts,1020,1514.0,1996-07-30,249900.0,1996
for_sale,4,2,0.56,Granby,Massachusetts,1033,1523.0,2007-09-19,324900.0,2007
for_sale,3,2,1.02,Belchertown,Massachusetts,1007,1617.0,2001-10-05,364900.0,2001
for_sale,2,1,0.28,Chicopee,Massachusetts,1013,1207.0,2011-11-29,240000.0,2011
for_sale,2,1,0.4,South Hadley,Massachusetts,1075,1034.0,1996-02-28,224900.0,1996
for_sale,3,2,0.11,Ludlow,Massachusetts,1056,2240.0,2000-10-03,299500.0,2000
for_sale,3,3,1.82,Orange,Massachusetts,1364,2096.0,2000-06-30,469900.0,2000
for_sale,4,2,0.3,South Hadley,Massachusetts,1075,2112.0,2001-05-24,295000.0,2001
for_sale,6,2,0.23,Holyoke,Massachusetts,1040,2399.0,2017-09-05,339000.0,2017
for_sale,2,2,0.05,Chicopee,Massachusetts,1013,1200.0,2002-06-12,275000.0,2002
for_sale,4,3,0.41,Easthampton,Massachusetts,1027,2590.0,2003-10-01,579900.0,2003
for_sale,3,2,0.3,Holyoke,Massachusetts,1040,1880.0,2002-02-15,365000.0,2002
for_sale,1,1,0.31,Belchertown,Massachusetts,1007,640.0,2000-08-03,215000.0,2000
for_sale,3,2,0.14,Northampton,Massachusetts,1062,1728.0,2003-05-30,499000.0,2003
for_sale,3,2,0.12,Northampton,Massachusetts,1060,1531.0,2009-05-01,489900.0,2009
for_sale,1,1,0.4,Barre,Massachusetts,1005,634.0,2003-10-28,65000.0,2003
for_sale,3,1,0.12,Barre,Massachusetts,1005,1175.0,1996-12-13,273900.0,1996
for_sale,4,5,3.97,Barre,Massachusetts,1005,5023.0,1988-06-24,849900.0,1988
for_sale,3,3,4.08,Barre,Massachusetts,1005,2283.0,1996-05-31,449900.0,1996
for_sale,2,1,0.6,Belchertown,Massachusetts,1007,802.0,2009-06-26,169999.0,2009
for_sale,5,3,0.32,Belchertown,Massachusetts,1007,1850.0,2012-12-14,299900.0,2012
for_sale,3,3,1.08,Belchertown,Massachusetts,1007,2360.0,2009-04-01,435000.0,2009
for_sale,2,3,30.0,Belchertown,Massachusetts,1007,2130.0,2013-06-27,330000.0,2013
